Department Name|Official Website|Has Activity Data|Activity Data URL|Data Types Available|Notes
East Bay Regional Parks District Department of Public Safety|https://www.ebparks.org/public-safety|Yes|https://www.ebparks.org/public-safety/activity|Police & Fire Activity Map, Real-time Data|Near-real-time map
East Palo Alto Police Department|https://www.ci.east-palo-alto.ca.us/police|Yes|https://www.ci.east-palo-alto.ca.us/police/page/automated-license-plate-readers-alpr-transparency-portal|ALPR Transparency Portal|
El Cajon Police Department|https://www.elcajon.gov/your-government/departments/police|Yes|https://www.elcajon.gov/your-government/departments/police/your-police-department/records|Police Records, Crime Data|
El Camino Community College District Police Department|N/A|Unknown|N/A|N/A|Campus Police
El Centro Police Department|https://www.cityofelcentro.org/1251/Police|Yes|N/A|Crime data (moved to RIMS June 2025)|Moved from ProPhoenix to RIMS June 2025; CitizenRIMS portal likely available
El Cerrito Police Department|http://www.elcerrito.gov/135/Police-Department|Yes|http://www.elcerrito.gov/985/Online-Police-Reporting|Online Police Reporting|
El Dorado County District Attorney|N/A|Unknown|N/A|N/A|
El Dorado County Sheriff's Department|https://www.eldoradocounty.ca.gov/Public-Safety-Justice/Safety-Justice/sheriff|Yes|https://eldoradosheriff.citizenrims.com|Crime & Activity Data, Inmate Info|CitizenRIMS
El Monte Police Department|https://www.ci.el-monte.ca.us/209/Police|Unknown|N/A|N/A|
El Rancho Unified School District Police Department|https://www.erusd.org/apps/pages/index.jsp?uREC_ID=155468|Unknown|N/A|N/A|School district police
El Segundo Police Department|https://www.elsegundopd.org/|Yes|https://www.elsegundopd.org/about-espd/crime-trends|Crime Trends, Transparency Portal, RIPA Data|2021-2025 trends
Elk Grove Police Department|https://elkgrove.gov/departments-and-divisions/police-department|Yes|https://elkgrovepd.hosted.civiclive.com/transparency/crime/crime_statistics|Crime Statistics, Safety Dashboard, Annual Reports|
Emeryville Police Department|https://www.emeryville.org/Government/Departments/Police|Yes|https://emeryville.citizenrims.com/|Crime & Activity Data, Weekly Reports|CitizenRIMS
Escalon Police Department|https://www.cityofescalon.org/government/departments/police|Unknown|N/A|N/A|
Escondido Police Department|https://www.escondido.gov/172/Police|Yes|https://escondido.gov/558/Crime-Mapping|Crime Mapping, ARJIS System Data|
Etna Police Department|https://www.etnaca.com/police/|Unknown|N/A|N/A|
Eureka Police Department|https://www.eurekaca.gov/172/Police-Department|Yes|https://www.eurekaca.gov/407/Transparency-Portal|Transparency Portal, SB978 Public Info, Crime Data|
Exeter Police Department|https://cityofexeter.ca.gov/departments/exeter-police-department/|Unknown|N/A|N/A|
Exposition Park Department of Public Safety|https://expositionpark.ca.gov/public-safety/|Unknown|N/A|N/A|
Fairfax Police Department|https://townoffairfaxca.gov/departments/police/|Unknown|N/A|N/A|
Fairfield Police Department|https://www.fairfield.ca.gov/government/city-departments/police|Yes|https://www.fairfield.ca.gov/government/city-departments/police/support-services-bureau/police-records-reports|Police Records, Crime Reports, Transparency Portal|
Farmersville Police Department|https://www.cityoffarmersville-ca.gov/202/Police-Department|Unknown|N/A|N/A|
Ferndale Police Department|https://ci.ferndale.ca.us/departments/police/|Unknown|N/A|N/A|
Firebaugh Police Department|https://firebaugh.org/police/|Unknown|N/A|N/A|
Folsom Lake College Police Department|https://police.losrios.edu/|Unknown|N/A|N/A|Los Rios PD
Folsom Police Department|https://www.folsom.ca.us/government/police|Yes|https://www.folsom.ca.us/government/police/crime-information/crime-map|Crime Map, Police Log|30-day police logs
Fontana Police Department|https://www.fontanaca.gov/3073/Welcome-to-the-Fontana-Police-Department|Yes|https://www.fontanaca.gov/3337/Police-Audit-Crime-Statistics|Crime Statistics, Monthly Reports, Audit Data|
Fontana Unified School District Police Department|Not Found|Unknown|N/A|N/A|School district police
Foothill/De Anza Community College District Police Department|Not Found|Unknown|N/A|N/A|
Fort Bragg Police Department|https://www.city.fortbragg.com/departments/police_department/index.php|Unknown|N/A|N/A|
Fortuna Police Department|https://www.friendlyfortuna.com/departments/police_department/index.php|Yes|https://fortunapd.citizenrims.com|Crime & Activity Data, Arrests|CitizenRIMS
Foster City Police Department|https://www.fostercity.org/police|Yes|https://www.fostercity.org/police/page/fcpd-daily-activity-bulletin-archive|Daily Activity Bulletins, Police Reports|
Fountain Valley Police Department|https://www.fountainvalley.gov/1471/Police-Department|Unknown|N/A|N/A|
Fowler Police Department|https://www.fowlercity.org/police-department|Unknown|N/A|N/A|
Fremont Police Department|https://www.fremontpolice.gov/|Yes|https://www.fremontpolice.gov/about-us/crime-statistics|Crime Statistics, Transparency Portal, Community Crime Map|
Fresno County District Attorney|N/A|Unknown|N/A|N/A|
Fresno County Sheriff's Department|https://www.fresnosheriff.org/|Yes|N/A|Crime Data|
Fresno Police Department|https://www.fresno.gov/police/|Yes|https://www.fresno.gov/police/records-and-reports/|Records and Reports, Crime Dashboard, Annual Reports|
Fresno Yosemite International Airport|Not Found|Unknown|N/A|N/A|Airport security
Fullerton Police Department|https://www.cityoffullerton.com/government/departments/police|Yes|https://www.cityoffullerton.com/government/departments/police/crime-trends/crime-statistics|Crime Statistics, Community Crime Map|LexisNexis partnership
Galt Police Department|https://www.cityofgalt.org/government/police-department|Yes|https://www.cityofgalt.org/our-city/police-department/incident-arrest-reports|Incident & Arrest Reports|
Garden Grove Police Department|https://ggcity.org/police|Unknown|N/A|N/A|CALEA accredited
Gardena Police Department|https://gardenapd.org/|Unknown|N/A|N/A|
Gavilan College Campus Security Department|https://www.gavilan.edu/public_safety/index.php|No|N/A|N/A|Non-sworn security
Gilroy Police Department|https://www.cityofgilroy.org/151/Police-Department|Yes|https://www.cityofgilroy.org/186/File-a-Police-Report|Citizens Online Police Reporting|
Glendale Community College District Police Department|https://www.glendale.edu/about-gcc/college-police|Unknown|N/A|N/A|
Glendale Police Department|https://www.glendaleca.gov/government/departments/police-department|Unknown|N/A|N/A|~300 sworn officers
Glendale Police Department Park Rangers|https://www.glendaleca.gov/government/departments/police-department|Unknown|N/A|N/A|Park Rules education
Glendora Police Department|Not Found|Unknown|N/A|N/A|
Glenn County District Attorney|https://www.countyofglenn.net/government/departments/district-attorney|No|N/A|N/A|
